P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,SMILES,PICS
1,3,0,0,0,0,2,0,0,49,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,58,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,12,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,22,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,35,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,47,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,53,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,8,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,16,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,26,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,36,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,41,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,49,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,12,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,20,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,29,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,35,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,43,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,49,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,10,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,28,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,38,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,12,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,19,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,24,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,28,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,39,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,43,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,17,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,21,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,26,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,31,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,36,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,41,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,45,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,24,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,30,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,33,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,30,2,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,34,2,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,1,1,0,0,13,0,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,1,0,0,19,1,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,1,0,0,25,1,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,4,3,0,0,0,2,0,0,14,0,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,3,0,0,0,2,0,0,32,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,5,1,0,0,0,1,0,1,12,0,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,5,1,0,0,0,1,0,1,27,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,2,0,0,0,1,0,1,21,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,2,0,0,0,1,0,1,31,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,2,0,0,3,0,2,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,1,0,1,9,0,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,1,0,1,25,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,0,0,2,12,0,4,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,0,0,2,23,1,4,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,6,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,12,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,16,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,6,0,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,9,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,19,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,1,0,0,0,2,0,0,20,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,13,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,19,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,2,0,0,20,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,18,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,26,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,17,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,22,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,2,0,0,26,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,2,0,0,0,24,1,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,22,1,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,29,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,36,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,46,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,25,1,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,38,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,42,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,35,2,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,40,3,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,45,3,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,49,4,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,47,3,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,71,6,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,82,7,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,1,0,0,47,4,3,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,35,3,2,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,44,3,2,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,20,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,28,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,47,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,36,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,2,2,0,0,28,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,2,2,0,0,38,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,27,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,35,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,26,2,3,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,44,3,3,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
0,0,0,0,1,0,1,0,0,26,2,2,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
0,0,0,0,1,0,1,0,0,52,4,2,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,2,0,0,0,27,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,2,0,0,0,47,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,23,1,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,35,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,45,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,52,4,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,23,1,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,31,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,36,2,4,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,31,2,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,36,3,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,41,3,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,46,3,3,0,0,0,0,1,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,25,1,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,63,5,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,2,0,0,0,0,1,0,0,89,7,4,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,1,0,0,41,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,32,2,2,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,55,4,2,0,0,1,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,23,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,47,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,71,6,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,2,2,0,0,79,6,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,46,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,60,5,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,1,2,0,0,80,6,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,35,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,53,4,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,1,0,0,0,0,2,0,0,72,6,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,2,2,0,0,22,1,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
